hash,timestamp,datetime,seller,gas_used,tx_fee_eth,total_price_eth,nft_collection,nft_token_id,nft_token_address,nft_type,buyer
0x6ba7a22f20d2b65815ba9b9298ee9e401d772fe6f385c0769f8ed8fe8c1f67d3,1737582539,2025-01-22 21:48:59,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,244265,0.00210492303940051,3.12269e-13,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x1a75daaca0f00f77e24c6dd3a267309b38121fc771ff6fccb3dd9e4fe800f419,1737535055,2025-01-22 08:37:35,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,259034,0.00217289118638755,1.070913e-12,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x373830b23cf9d42bef6f2990b109dd39ab411e1777a90d769b57a7edff070505,1737534191,2025-01-22 08:23:11,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,244277,0.001910781301563046,3.99983e-13,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x95a2bc0c67ed2ed60c5dbe16b8cf7e70f262b59e33d37ffbe0fde2ffef706ab4,1737520055,2025-01-22 04:27:35,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,239453,0.001793271789382791,1.5996e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x1f625d982315d084a34e1ff0c71fc12f58cf582cd3e039e9956d8083233cec6a,1737505427,2025-01-22 00:23:47,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,231965,0.00218655832898639,6e-13,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xfd491ca0be222dc04537761e7dd3ae301669e004ea4eb207dcb083b2f8b6da75,1737505379,2025-01-22 00:22:59,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,249077,0.002617657997261755,6e-13,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x04225d054197c7c2531cea09e86b398258246058dc58a1a74b1234271b6396e0,1737491123,2025-01-21 20:25:23,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,239477,0.003876540165338862,3.199801e-12,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x7fc8f584507d8f0e0e52845259452d2902211427831f05e00fbbd284a4f0db9d,1737363395,2025-01-20 08:56:35,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,231929,0.006481674223972779,5.02e-16,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x7d43e204d9d934c7e39af107f1c5962236100673c9ff763f59cfd99f0a7c52f7,1737287399,2025-01-19 11:49:59,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,249434,0.00982378434051145,1.590356e-12,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xddea9b7770b8b37af06faa104058e7145e9f356a326aece9493fcc80a1465574,1737253715,2025-01-19 02:28:35,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,232310,0.00298781646111806,7.2695e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x3a989774cde9af3dacbd52a9482ff954a89b7e49cf73d93de3059d5ae8afcc6e,1737244535,2025-01-18 23:55:35,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,249041,0.008989525071519356,3e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xfa4df206177dd505e72fdde1235b7a7617942504ed6109f4b62bc264a6df2fc0,1737158315,2025-01-17 23:58:35,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,249077,0.001278218159771332,8.3335e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x281916f85773abb943a6d45ce1852cf5e3f6b51445e1b9174ac1db2a917194cf,1737152843,2025-01-17 22:27:23,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,239477,0.001814707333505864,1.14033e-13,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xf01ceab78db254ef5c62d0579e1d3cf655b5729122ac8b09acbd99529851788b,1737129431,2025-01-17 15:57:11,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,249386,0.004112206298445806,3.4892e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xf638ddd030c1af8be9d4b2b9133c160c86255391852dd0d021ec0c88dd676253,1737091715,2025-01-17 05:28:35,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,239441,0.001267876351395661,4.0658e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x77c981162c617d9af3da842af49f975aa4b2e2b00855b1b29b43fa972ead4d4c,1737089015,2025-01-17 04:43:35,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,249101,0.001002067985053205,6.484675e-12,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xc9675483f58b51d460e943521574ed865c4a75be7f98d837881de6c65969b349,1737080147,2025-01-17 02:15:47,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,232001,0.000944221221149514,1e-11,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x6aa51c3b0c28e4de231ab16f0c5ccf6417b56683f2fd76d777c423851da46703,1737077903,2025-01-17 01:38:23,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,231977,0.001095183137596747,1e-12,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x972b82203f2b8c747a3bdb0801fca0a84bc9826c4469e1bb568f3d010694dd72,1737077171,2025-01-17 01:26:11,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,249101,0.001236624428286914,5e-12,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0xe8488f884ec613ea6446794d2cc1c81d300c6805f90c4e4a4acf2c58d4c932e6,1737069803,2025-01-16 23:23:23,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,241006,0.001174841466249958,8.038129e-12,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x0ca80e4b868e94745eaa1e8e3aed9c38d7f490cfacd92bbf8ec202c081516947,1737065123,2025-01-16 22:05:23,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,239453,0.001241023640936275,1.83e-14,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x448bbcc190b919bb56ad68d45729ebcd4814ff9c9074e5457d1ee78380bf8b69,1737049247,2025-01-16 17:40:47,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,227081,0.002482071684850845,1e-17,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
0x6761e658c0181a2d39bb56c0353ccf994d101425cc805f9f0eb5bf40fa78a222,1736979491,2025-01-15 22:18:11,0xDd76FBb9Dc097d261506e1dEAfa44FBaaD783960,227177,0.002680274950666152,1.39e-13,Unknown,0,0x5281F798E15ef6ea44E64a702D8eDE0abC765F65,ERC20,0x5281f798e15ef6ea44e64a702d8ede0abc765f65
